,Airport,City,City_Name,Des,DesCity,DesCity_Name
1143,ISL,IST,ISTANBUL,TGD,TGD,ISTANBUL
1145,IST,IST,ISTANBUL,TGD,TGD,ISTANBUL
2239,SAW,IST,ISTANBUL,TGD,TGD,ISTANBUL
1143,ISL,IST,ISTANBUL,TIA,TIA,ISTANBUL
1145,IST,IST,ISTANBUL,TIA,TIA,ISTANBUL
2239,SAW,IST,ISTANBUL,TIA,TIA,ISTANBUL
1143,ISL,IST,ISTANBUL,TLL,TLL,ISTANBUL
1145,IST,IST,ISTANBUL,TLL,TLL,ISTANBUL
2239,SAW,IST,ISTANBUL,TLL,TLL,ISTANBUL
1143,ISL,IST,ISTANBUL,TLS,TLS,ISTANBUL
