,Airport,City,City_Name,Des,DesCity,DesCity_Name
1143,ISL,IST,ISTANBUL,LGA,NYC,ISTANBUL
1145,IST,IST,ISTANBUL,LGA,NYC,ISTANBUL
2239,SAW,IST,ISTANBUL,LGA,NYC,ISTANBUL
1143,ISL,IST,ISTANBUL,LGG,LGG,ISTANBUL
1145,IST,IST,ISTANBUL,LGG,LGG,ISTANBUL
2239,SAW,IST,ISTANBUL,LGG,LGG,ISTANBUL
1143,ISL,IST,ISTANBUL,LGW,LON,ISTANBUL
1145,IST,IST,ISTANBUL,LGW,LON,ISTANBUL
2239,SAW,IST,ISTANBUL,LGW,LON,ISTANBUL
1143,ISL,IST,ISTANBUL,LHE,LHE,ISTANBUL
1145,IST,IST,ISTANBUL,LHE,LHE,ISTANBUL
2239,SAW,IST,ISTANBUL,LHE,LHE,ISTANBUL
1143,ISL,IST,ISTANBUL,LHR,LON,ISTANBUL
1145,IST,IST,ISTANBUL,LHR,LON,ISTANBUL
2239,SAW,IST,ISTANBUL,LHR,LON,ISTANBUL
1143,ISL,IST,ISTANBUL,LIL,LIL,ISTANBUL
1145,IST,IST,ISTANBUL,LIL,LIL,ISTANBUL
2239,SAW,IST,ISTANBUL,LIL,LIL,ISTANBUL
1143,ISL,IST,ISTANBUL,LIN,MIL,ISTANBUL
1145,IST,IST,ISTANBUL,LIN,MIL,ISTANBUL
2239,SAW,IST,ISTANBUL,LIN,MIL,ISTANBUL
1143,ISL,IST,ISTANBUL,LIS,LIS,ISTANBUL
1145,IST,IST,ISTANBUL,LIS,LIS,ISTANBUL
2239,SAW,IST,ISTANBUL,LIS,LIS,ISTANBUL
1143,ISL,IST,ISTANBUL,LJU,LJU,ISTANBUL
1145,IST,IST,ISTANBUL,LJU,LJU,ISTANBUL
2239,SAW,IST,ISTANBUL,LJU,LJU,ISTANBUL
1143,ISL,IST,ISTANBUL,LNZ,LNZ,ISTANBUL
1145,IST,IST,ISTANBUL,LNZ,LNZ,ISTANBUL
2239,SAW,IST,ISTANBUL,LNZ,LNZ,ISTANBUL
1143,ISL,IST,ISTANBUL,LOS,LOS,ISTANBUL
1145,IST,IST,ISTANBUL,LOS,LOS,ISTANBUL
2239,SAW,IST,ISTANBUL,LOS,LOS,ISTANBUL
1143,ISL,IST,ISTANBUL,LTN,LON,ISTANBUL
1145,IST,IST,ISTANBUL,LTN,LON,ISTANBUL
2239,SAW,IST,ISTANBUL,LTN,LON,ISTANBUL
1143,ISL,IST,ISTANBUL,LUN,LUN,ISTANBUL
1145,IST,IST,ISTANBUL,LUN,LUN,ISTANBUL
2239,SAW,IST,ISTANBUL,LUN,LUN,ISTANBUL
1143,ISL,IST,ISTANBUL,LUX,LUX,ISTANBUL
1145,IST,IST,ISTANBUL,LUX,LUX,ISTANBUL
2239,SAW,IST,ISTANBUL,LUX,LUX,ISTANBUL
1143,ISL,IST,ISTANBUL,LYS,LYS,ISTANBUL
1145,IST,IST,ISTANBUL,LYS,LYS,ISTANBUL
2239,SAW,IST,ISTANBUL,LYS,LYS,ISTANBUL
1143,ISL,IST,ISTANBUL,MAA,MAA,ISTANBUL
1145,IST,IST,ISTANBUL,MAA,MAA,ISTANBUL
2239,SAW,IST,ISTANBUL,MAA,MAA,ISTANBUL
1143,ISL,IST,ISTANBUL,MAD,MAD,ISTANBUL
1145,IST,IST,ISTANBUL,MAD,MAD,ISTANBUL
2239,SAW,IST,ISTANBUL,MAD,MAD,ISTANBUL
1143,ISL,IST,ISTANBUL,MAN,MAN,ISTANBUL
1145,IST,IST,ISTANBUL,MAN,MAN,ISTANBUL
2239,SAW,IST,ISTANBUL,MAN,MAN,ISTANBUL
1143,ISL,IST,ISTANBUL,MCO,ORL,ISTANBUL
1145,IST,IST,ISTANBUL,MCO,ORL,ISTANBUL
2239,SAW,IST,ISTANBUL,MCO,ORL,ISTANBUL
1143,ISL,IST,ISTANBUL,MCT,MCT,ISTANBUL
1145,IST,IST,ISTANBUL,MCT,MCT,ISTANBUL
2239,SAW,IST,ISTANBUL,MCT,MCT,ISTANBUL
1143,ISL,IST,ISTANBUL,MDW,CHI,ISTANBUL
1145,IST,IST,ISTANBUL,MDW,CHI,ISTANBUL
2239,SAW,IST,ISTANBUL,MDW,CHI,ISTANBUL
1143,ISL,IST,ISTANBUL,MEB,MEL,ISTANBUL
1145,IST,IST,ISTANBUL,MEB,MEL,ISTANBUL
2239,SAW,IST,ISTANBUL,MEB,MEL,ISTANBUL
1143,ISL,IST,ISTANBUL,MED,MED,ISTANBUL
1145,IST,IST,ISTANBUL,MED,MED,ISTANBUL
2239,SAW,IST,ISTANBUL,MED,MED,ISTANBUL
1143,ISL,IST,ISTANBUL,MEL,MEL,ISTANBUL
1145,IST,IST,ISTANBUL,MEL,MEL,ISTANBUL
2239,SAW,IST,ISTANBUL,MEL,MEL,ISTANBUL
1143,ISL,IST,ISTANBUL,MEX,MEX,ISTANBUL
1145,IST,IST,ISTANBUL,MEX,MEX,ISTANBUL
2239,SAW,IST,ISTANBUL,MEX,MEX,ISTANBUL
1143,ISL,IST,ISTANBUL,MFE,MFE,ISTANBUL
1145,IST,IST,ISTANBUL,MFE,MFE,ISTANBUL
2239,SAW,IST,ISTANBUL,MFE,MFE,ISTANBUL
1143,ISL,IST,ISTANBUL,MGQ,MGQ,ISTANBUL
1145,IST,IST,ISTANBUL,MGQ,MGQ,ISTANBUL
2239,SAW,IST,ISTANBUL,MGQ,MGQ,ISTANBUL
1143,ISL,IST,ISTANBUL,MIA,MIA,ISTANBUL
1145,IST,IST,ISTANBUL,MIA,MIA,ISTANBUL
2239,SAW,IST,ISTANBUL,MIA,MIA,ISTANBUL
1143,ISL,IST,ISTANBUL,MLA,MLA,ISTANBUL
1145,IST,IST,ISTANBUL,MLA,MLA,ISTANBUL
2239,SAW,IST,ISTANBUL,MLA,MLA,ISTANBUL
1143,ISL,IST,ISTANBUL,MLE,MLE,ISTANBUL
1145,IST,IST,ISTANBUL,MLE,MLE,ISTANBUL
2239,SAW,IST,ISTANBUL,MLE,MLE,ISTANBUL
1143,ISL,IST,ISTANBUL,MNL,MNL,ISTANBUL
1145,IST,IST,ISTANBUL,MNL,MNL,ISTANBUL
2239,SAW,IST,ISTANBUL,MNL,MNL,ISTANBUL
1143,ISL,IST,ISTANBUL,MPM,MPM,ISTANBUL
1145,IST,IST,ISTANBUL,MPM,MPM,ISTANBUL
2239,SAW,IST,ISTANBUL,MPM,MPM,ISTANBUL
1143,ISL,IST,ISTANBUL,MRS,MRS,ISTANBUL
1145,IST,IST,ISTANBUL,MRS,MRS,ISTANBUL
2239,SAW,IST,ISTANBUL,MRS,MRS,ISTANBUL
1143,ISL,IST,ISTANBUL,MRU,MRU,ISTANBUL
1145,IST,IST,ISTANBUL,MRU,MRU,ISTANBUL
2239,SAW,IST,ISTANBUL,MRU,MRU,ISTANBUL
1143,ISL,IST,ISTANBUL,MSP,MSP,ISTANBUL
1145,IST,IST,ISTANBUL,MSP,MSP,ISTANBUL
2239,SAW,IST,ISTANBUL,MSP,MSP,ISTANBUL
1143,ISL,IST,ISTANBUL,MSQ,MSQ,ISTANBUL
1145,IST,IST,ISTANBUL,MSQ,MSQ,ISTANBUL
2239,SAW,IST,ISTANBUL,MSQ,MSQ,ISTANBUL
1143,ISL,IST,ISTANBUL,MST,MST,ISTANBUL
1145,IST,IST,ISTANBUL,MST,MST,ISTANBUL
2239,SAW,IST,ISTANBUL,MST,MST,ISTANBUL
1143,ISL,IST,ISTANBUL,MSY,MSY,ISTANBUL
1145,IST,IST,ISTANBUL,MSY,MSY,ISTANBUL
2239,SAW,IST,ISTANBUL,MSY,MSY,ISTANBUL
1143,ISL,IST,ISTANBUL,MUC,MUC,ISTANBUL
1145,IST,IST,ISTANBUL,MUC,MUC,ISTANBUL
2239,SAW,IST,ISTANBUL,MUC,MUC,ISTANBUL
1143,ISL,IST,ISTANBUL,MXP,MIL,ISTANBUL
1145,IST,IST,ISTANBUL,MXP,MIL,ISTANBUL
2239,SAW,IST,ISTANBUL,MXP,MIL,ISTANBUL
1143,ISL,IST,ISTANBUL,NAP,NAP,ISTANBUL
1145,IST,IST,ISTANBUL,NAP,NAP,ISTANBUL
2239,SAW,IST,ISTANBUL,NAP,NAP,ISTANBUL
1143,ISL,IST,ISTANBUL,NBO,NBO,ISTANBUL
1145,IST,IST,ISTANBUL,NBO,NBO,ISTANBUL
2239,SAW,IST,ISTANBUL,NBO,NBO,ISTANBUL
